Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
1,6.2,3.0,5.3,1.7,Iris-virginica
2,5.5,2.5,4.0,1.0,Iris-versicolor
3,5.5,4.3,1.5,0.2,Iris-setosa
4,5.9,3.1,3.9,1.3,Iris-versicolor
5,4.6,2.2,3.3,1.0,Iris-versicolor
6,6.4,2.6,4.4,1.3,Iris-versicolor
7,4.8,2.3,1.6,0.2,Iris-setosa
8,6.6,3.5,5.9,2.4,Iris-virginica
9,6.7,2.5,4.7,1.3,Iris-versicolor
10,5.3,3.3,1.3,0.3,Iris-setosa
11,5.5,3.7,1.4,0.3,Iris-setosa
12,5.7,2.7,4.2,1.5,Iris-versicolor
13,4.9,2.1,3.1,0.9,Iris-versicolor
14,6.1,3.3,4.9,1.7,Iris-versicolor
15,5.1,2.3,3.6,1.1,Iris-versicolor
16,6.4,3.2,5.3,1.8,Iris-virginica
17,4.9,3.1,1.6,0.2,Iris-setosa
18,5.2,2.1,3.9,1.3,Iris-versicolor
19,6.0,2.3,5.1,1.9,Iris-virginica
20,6.2,2.5,4.4,1.1,Iris-versicolor
21,6.0,3.0,5.1,2.2,Iris-virginica
22,4.7,2.8,1.6,0.3,Iris-setosa
23,5.5,2.5,4.0,1.4,Iris-versicolor
24,6.8,3.0,5.7,2.3,Iris-virginica
25,6.7,3.4,5.4,2.2,Iris-virginica
26,6.4,3.1,5.5,1.8,Iris-versicolor
27,4.9,3.3,1.7,0.2,Iris-setosa
28,7.4,3.0,6.7,2.2,Iris-virginica
29,6.5,2.8,5.3,1.7,Iris-virginica
30,6.9,3.2,5.6,2.3,Iris-virginica
31,5.0,4.0,1.6,0.4,Iris-setosa
32,5.2,4.2,1.4,0.1,Iris-setosa
33,6.2,3.2,4.6,1.4,Iris-versicolor
34,5.7,2.8,3.8,1.0,Iris-versicolor
35,5.8,2.5,4.5,1.6,Iris-versicolor
36,7.2,3.5,5.8,1.8,Iris-versicolor
37,5.1,2.4,3.7,1.2,Iris-versicolor
38,4.9,3.1,1.3,0.3,Iris-setosa
39,6.4,2.7,4.7,1.4,Iris-versicolor
40,5.5,3.0,4.1,1.4,Iris-versicolor
41,7.9,3.4,6.1,2.5,Iris-virginica
42,5.0,3.2,1.8,0.3,Iris-setosa
43,5.4,2.7,4.4,2.4,Iris-virginica
44,5.2,3.4,1.5,0.4,Iris-setosa
45,7.4,3.3,6.1,2.2,Iris-virginica
46,4.4,2.7,1.6,0.3,Iris-setosa
47,7.0,2.8,6.1,2.2,Iris-virginica
48,7.2,3.1,5.0,1.5,Iris-versicolor
49,4.7,3.2,1.4,0.1,Iris-setosa
50,4.6,3.0,1.6,0.2,Iris-setosa
51,6.4,3.4,4.7,1.5,Iris-versicolor
52,5.4,2.7,3.9,1.2,Iris-versicolor
